2025-12-18 01:17:05,638 - --------------------------------------------- BEGIN: 2025-12-18 01:17:05 ---------------------------------------------
2025-12-18 01:17:05,638 - 
==========================================
 Arguments          | Values              
==========================================
 batch_size         | 256                
 data_appendix      |                    
 dataset            | MIND_Large/MINDTOPK
 dropout            | 0                  
 early_stop         | 10                 
 emb_size           | 64                 
 epoch              | 200                
 eval_batch_size    | 256                
 gpu                | 0                  
 l2                 | 1e-08              
 lr                 | 0.001              
 main_metric        |                    
 n_layers           | 3                  
 num_neg            | 1                  
 num_workers        | 5                  
 optimizer          | Adam               
 random_seed        | 2025               
 save_final_results | 1                  
 test_all           | 0                  
 topk               | 5,10,20,50         
==========================================
2025-12-18 01:17:05,641 - Device: cuda
2025-12-18 01:17:05,642 - Load corpus from /home/neuro/MGDCF_in_ReChorus-master/data/MIND_Large/MINDTOPK/BaseReader.pkl
2025-12-18 01:17:08,754 - #params: 1238080
2025-12-18 01:17:08,754 - LightGCN(
  (encoder): LGCNEncoder(
    (embedding_dict): ParameterDict(
        (item_emb): Parameter containing: [torch.cuda.FloatTensor of size 2818x64 (cuda:0)]
        (user_emb): Parameter containing: [torch.cuda.FloatTensor of size 16527x64 (cuda:0)]
    )
  )
)
2025-12-18 13:15:29,470 - --------------------------------------------- BEGIN: 2025-12-18 13:15:29 ---------------------------------------------
2025-12-18 13:15:29,470 - 
==========================================
 Arguments          | Values              
==========================================
 batch_size         | 256                
 data_appendix      |                    
 dataset            | MIND_Large/MINDTOPK
 dropout            | 0                  
 early_stop         | 10                 
 emb_size           | 64                 
 epoch              | 200                
 eval_batch_size    | 256                
 gpu                | 0                  
 l2                 | 1e-08              
 lr                 | 0.001              
 main_metric        |                    
 n_layers           | 3                  
 num_neg            | 1                  
 num_workers        | 5                  
 optimizer          | Adam               
 random_seed        | 2025               
 save_final_results | 1                  
 test_all           | 0                  
 topk               | 5,10,20,50         
==========================================
2025-12-18 13:15:29,473 - Device: cuda
2025-12-18 13:15:29,473 - Load corpus from /home/neuro/MGDCF_in_ReChorus-master/data/MIND_Large/MINDTOPK/BaseReader.pkl
2025-12-18 13:15:32,435 - #params: 1238080
2025-12-18 13:15:32,435 - LightGCN(
  (encoder): LGCNEncoder(
    (embedding_dict): ParameterDict(
        (item_emb): Parameter containing: [torch.cuda.FloatTensor of size 2818x64 (cuda:0)]
        (user_emb): Parameter containing: [torch.cuda.FloatTensor of size 16527x64 (cuda:0)]
    )
  )
)
2025-12-18 13:15:32,773 - Test Before Training: (HR@5:0.0500,NDCG@5:0.0285,HR@10:0.1049,NDCG@10:0.0458,HR@20:0.2294,NDCG@20:0.0769,HR@50:0.5225,NDCG@50:0.1337)
2025-12-18 13:15:32,845 - Optimizer: Adam
2025-12-18 13:15:45,890 - Epoch 1     loss=0.4255 [12.9 s]	dev=(HR@5:0.0340,NDCG@5:0.0198) [0.3 s] *
2025-12-18 13:15:58,320 - Epoch 2     loss=0.3648 [12.2 s]	dev=(HR@5:0.0328,NDCG@5:0.0198) [0.3 s] *
2025-12-18 13:16:10,689 - Epoch 3     loss=0.3598 [12.1 s]	dev=(HR@5:0.0365,NDCG@5:0.0213) [0.2 s] *
2025-12-18 13:16:23,048 - Epoch 4     loss=0.3525 [12.1 s]	dev=(HR@5:0.0353,NDCG@5:0.0208) [0.2 s]
2025-12-18 13:16:35,395 - Epoch 5     loss=0.3508 [12.1 s]	dev=(HR@5:0.0347,NDCG@5:0.0208) [0.2 s]
2025-12-18 13:16:47,739 - Epoch 6     loss=0.3479 [12.1 s]	dev=(HR@5:0.0377,NDCG@5:0.0219) [0.2 s] *
2025-12-18 13:17:00,137 - Epoch 7     loss=0.3416 [12.1 s]	dev=(HR@5:0.0380,NDCG@5:0.0219) [0.2 s] *
2025-12-18 13:17:12,614 - Epoch 8     loss=0.3334 [12.2 s]	dev=(HR@5:0.0399,NDCG@5:0.0234) [0.3 s] *
2025-12-18 13:17:25,052 - Epoch 9     loss=0.3239 [12.2 s]	dev=(HR@5:0.0408,NDCG@5:0.0239) [0.3 s] *
2025-12-18 13:17:37,492 - Epoch 10    loss=0.3096 [12.2 s]	dev=(HR@5:0.0439,NDCG@5:0.0249) [0.2 s] *
2025-12-18 13:17:49,985 - Epoch 11    loss=0.3003 [12.2 s]	dev=(HR@5:0.0479,NDCG@5:0.0264) [0.3 s] *
2025-12-18 13:18:02,471 - Epoch 12    loss=0.2902 [12.2 s]	dev=(HR@5:0.0497,NDCG@5:0.0278) [0.2 s] *
2025-12-18 13:18:14,872 - Epoch 13    loss=0.2801 [12.1 s]	dev=(HR@5:0.0537,NDCG@5:0.0296) [0.2 s] *
2025-12-18 13:18:27,280 - Epoch 14    loss=0.2712 [12.1 s]	dev=(HR@5:0.0534,NDCG@5:0.0297) [0.2 s] *
2025-12-18 13:18:39,733 - Epoch 15    loss=0.2623 [12.2 s]	dev=(HR@5:0.0561,NDCG@5:0.0310) [0.3 s] *
2025-12-18 13:18:52,169 - Epoch 16    loss=0.2521 [12.2 s]	dev=(HR@5:0.0577,NDCG@5:0.0319) [0.2 s] *
2025-12-18 13:19:04,628 - Epoch 17    loss=0.2425 [12.2 s]	dev=(HR@5:0.0598,NDCG@5:0.0332) [0.2 s] *
2025-12-18 13:19:16,986 - Epoch 18    loss=0.2318 [12.1 s]	dev=(HR@5:0.0586,NDCG@5:0.0332) [0.2 s]
